Video URL,Average Performance,Count,Influencers Faces
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-814072014151046,0.601874038,2,faces/face_58.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8111507755613955,0.359291109,1,faces/face_59.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8100667816697710,0.969799098,1,faces/face_60.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-809480737932683,0.733354869,1,faces/face_61.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-806751788307038,1.536644177,1,faces/face_62.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803990118540094,0.801665896,4,faces/face_63.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803897110603133,1.214794378,1,faces/face_64.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-7995631707140182,0.085160295,1,faces/face_65.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-793257836073148,0.411322793,1,faces/face_66.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6764280623620361,0.192267204,1,faces/face_67.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-6720438181324436,0.781884899,1,faces/face_68.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-671839840899900,0.039172285,1,faces/face_69.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-429145826826558,1.438421319,1,faces/face_70.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-425151876539382,0.904685486,1,faces/face_71.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1693566687752051,1.270688401,1,faces/face_72.jpg
https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-1119706949586170,1.604622718,1,faces/face_73.jpg
